date	txCount	price(USD)
2018-07-08	155527	6857.8
2018-07-07	170004	6668.71
2018-07-06	200833	6638.69
2018-07-05	199463	6599.71
2018-07-04	206654	6550.87
2018-07-03	216631	6596.66
2018-07-02	199153	6380.38
2018-07-01	156100	6411.68
2018-06-30	180924	6214.22
2018-06-29	197730	5898.13
2018-06-28	187467	6153.16
2018-06-27	188389	6084.4
2018-06-26	195258	6253.55
2018-06-25	200016	6171.97
2018-06-24	157851	6164.28
2018-06-23	163135	6090.1
2018-06-22	203993	6737.88
2018-06-21	197943	6780.09
2018-06-20	198734	6770.76
2018-06-19	191650	6742.39
2018-06-18	196141	6510.07
2018-06-17	144751	6545.53
2018-06-16	158924	6455.45
2018-06-15	205708	6674.08
2018-06-14	209876	6342.75
2018-06-13	211686	6596.88
2018-06-12	214450	6905.82
2018-06-11	213056	6799.29
2018-06-10	179682	7499.55
2018-06-09	171163	7632.52
2018-06-08	200234	7685.14
2018-06-07	207484	7650.82
2018-06-06	206270	7625.97
2018-06-05	212726	7500.9
2018-06-04	209733	7722.53
2018-06-03	163280	7632.09
2018-06-02	174345	7536.72
2018-06-01	205315	7500.7
2018-05-31	209356	7406.15
2018-05-30	203903	7469.73
2018-05-29	204630	7129.46
2018-05-28	188907	7371.31
2018-05-27	144140	7362.08
2018-05-26	158621	7486.48
2018-05-25	196005	7592.3
2018-05-24	206682	7561.12
2018-05-23	223034	8037.08
2018-05-22	203186	8419.87
2018-05-21	202490	8522.33
2018-05-20	158519	8246.99
2018-05-19	173120	8255.73
2018-05-18	211348	8091.83
2018-05-17	192551	8370.05
2018-05-16	208284	8504.41
2018-05-15	214633	8705.19
2018-05-14	209565	8713.1
2018-05-13	158646	8515.49
2018-05-12	181889	8441.44
2018-05-11	213497	9052.96
2018-05-10	208807	9325.96
2018-05-09	206419	9223.73
2018-05-08	217671	9380.87
2018-05-07	204913	9645.67
2018-05-06	171624	9845.31
2018-05-05	202542	9700.28
2018-05-04	218931	9695.5
2018-05-03	228370	9233.97
2018-05-02	212156	9104.6
2018-05-01	199801	9251.47
2018-04-30	214952	9426.11
2018-04-29	180640	9346.41
2018-04-28	203553	8939.27
2018-04-27	210977	9290.63
2018-04-26	216591	8867.32
2018-04-25	213032	9701.03
2018-04-24	254334	8934.34
2018-04-23	226200	8794.39
2018-04-22	171710	8925.06
2018-04-21	193816	8848.79
2018-04-20	207640	8286.88
2018-04-19	213345	8159.27
2018-04-18	200580	7944.43
2018-04-17	201658	8071.66
2018-04-16	195965	8337.57
2018-04-15	173868	7999.33
2018-04-14	161706	7874.67
2018-04-13	217117	7901.09
2018-04-12	210725	6955.38
2018-04-11	183087	6843.47
2018-04-10	186251	6795.44
2018-04-09	176416	7044.32
2018-04-08	138374	6919.98
2018-04-07	154459	6630.51
2018-04-06	172751	6815.96
2018-04-05	181676	6848.65
2018-04-04	185563	7456.41
