date	txCount	price(USD)
2015-07-30	0	0
2015-07-31	0	0
2015-08-01	0	0
2015-08-02	0	0
2015-08-03	0	0
2015-08-04	0	0
2015-08-05	0	0
2015-08-06	0	0
2015-08-07	2050	0
2015-08-08	2881	0
2015-08-09	1329	0
2015-08-10	2037	0.713989
2015-08-11	4963	0.708087
2015-08-12	2036	1.06
2015-08-13	2842	1.22
2015-08-14	3174	1.81
2015-08-15	2284	1.8
2015-08-16	2440	1.68
2015-08-17	2512	1.58
2015-08-18	2494	1.22
2015-08-19	3246	1.17
2015-08-20	2303	1.25
2015-08-21	3919	1.48
2015-08-22	3579	1.4
2015-08-23	4190	1.38
2015-08-24	4432	1.35
2015-08-25	4487	1.23
2015-08-26	4156	1.13
2015-08-27	5590	1.17
2015-08-28	4758	1.15
2015-08-29	4139	1.19
2015-08-30	4572	1.18
2015-08-31	5196	1.32
2015-09-01	5153	1.35
2015-09-02	5195	1.35
2015-09-03	4777	1.3
2015-09-04	5642	1.26
2015-09-05	5519	1.28
2015-09-06	5521	1.34
2015-09-07	5702	1.3
2015-09-08	5622	1.25
2015-09-09	5604	1.24
2015-09-10	5341	1.21
2015-09-11	6460	1.16
2015-09-12	5596	0.987228
2015-09-13	6057	1.04
2015-09-14	5572	0.940566
2015-09-15	5409	0.875189
2015-09-16	5872	0.941977
2015-09-17	5368	0.906865
2015-09-18	5802	0.874574
2015-09-19	5205	0.849603
2015-09-20	6402	0.881191
2015-09-21	6305	0.941496
2015-09-22	6804	0.919337
2015-09-23	7404	0.90356
2015-09-24	6224	0.896796
2015-09-25	5851	0.820031
2015-09-26	5907	0.73763
2015-09-27	5760	0.791277
2015-09-28	6123	0.723715
2015-09-29	5738	0.579414
2015-09-30	5870	0.661192
2015-10-01	6421	0.734307
2015-10-02	6063	0.683732
2015-10-03	6112	0.678783
2015-10-04	6624	0.686343
2015-10-05	6279	0.666784
2015-10-06	6458	0.622218
2015-10-07	7121	0.650515
2015-10-08	6926	0.609501
2015-10-09	6763	0.655084
2015-10-10	6529	0.641187
2015-10-11	6023	0.627461
2015-10-12	6593	0.634515
2015-10-13	6818	0.627943
2015-10-14	6830	0.61224
2015-10-15	6499	0.523278
2015-10-16	6795	0.562593
2015-10-17	6567	0.534117
2015-10-18	6481	0.547913
2015-10-19	6604	0.517621
2015-10-20	5897	0.489629
2015-10-21	6182	0.431589
2015-10-22	5979	0.444988
2015-10-23	6888	0.56637
2015-10-24	6361	0.539681
2015-10-25	5830	0.563207
2015-10-26	5938	0.619743
2015-10-27	6784	0.70889
2015-10-28	7346	0.870938
2015-10-29	7836	1.01
2015-10-30	7941	1.21
2015-10-31	7557	1.05
2015-11-01	6915	0.920847
2015-11-02	6558	1.06
2015-11-03	7399	0.994568
2015-11-04	7037	1.01
2015-11-05	7498	0.900699
2015-11-06	7882	0.904772
2015-11-07	10996	0.923732
2015-11-08	12413	0.915661
2015-11-09	7689	1.03
2015-11-10	8151	1
2015-11-11	10217	0.941296
2015-11-12	9534	0.796455
2015-11-13	7891	0.907722
