date	txCount	price(USD)
2015-01-01	2848	2.72
2015-01-02	3195	2.7
2015-01-03	5201	2.67
2015-01-04	4937	2.11
2015-01-05	4530	1.96
2015-01-06	4196	2.08
2015-01-07	4334	2.12
2015-01-08	5235	2.12
2015-01-09	4360	2.01
2015-01-10	6204	1.97
2015-01-11	5734	1.65
2015-01-12	4379	1.72
2015-01-13	5706	1.71
2015-01-14	5465	1.55
2015-01-15	4395	1.15
2015-01-16	4708	1.28
2015-01-17	6269	1.4
2015-01-18	5511	1.3
2015-01-19	5351	1.33
2015-01-20	5487	1.34
2015-01-21	5055	1.32
2015-01-22	4692	1.37
2015-01-23	3433	1.41
2015-01-24	4751	1.43
2015-01-25	6468	1.84
2015-01-26	5929	2.25
2015-01-27	7047	2.07
2015-01-28	7703	2.09
2015-01-29	4369	1.88
2015-01-30	5785	1.91
2015-01-31	5827	1.9
2015-02-01	4150	1.88
2015-02-02	11732	1.81
2015-02-03	4349	1.87
2015-02-04	3543	1.82
2015-02-05	4301	1.79
2015-02-06	4776	1.74
2015-02-07	13183	1.76
2015-02-08	19857	1.79
2015-02-09	18035	1.79
2015-02-10	8879	1.73
2015-02-11	9398	1.76
2015-02-12	5586	1.73
2015-02-13	7721	1.76
2015-02-14	5423	1.82
2015-02-15	4909	1.94
2015-02-16	4261	1.84
2015-02-17	3518	1.79
2015-02-18	5333	1.86
2015-02-19	5083	1.83
2015-02-20	3680	1.84
2015-02-21	4363	1.85
2015-02-22	3951	1.85
2015-02-23	5133	1.8
2015-02-24	4880	1.81
2015-02-25	5970	1.83
2015-02-26	5993	1.81
2015-02-27	6474	1.8
2015-02-28	6445	1.85
2015-03-01	6225	1.85
2015-03-02	5092	1.89
2015-03-03	4387	1.94
2015-03-04	10194	1.96
2015-03-05	5777	1.92
2015-03-06	3857	1.92
2015-03-07	4681	1.89
2015-03-08	4343	1.91
2015-03-09	4190	1.89
2015-03-10	4562	1.94
2015-03-11	4408	2.01
2015-03-12	4177	2.02
2015-03-13	3894	2.04
2015-03-14	4460	2
2015-03-15	3559	1.99
2015-03-16	4132	2.02
2015-03-17	3788	2.03
2015-03-18	4004	1.98
2015-03-19	4092	1.74
2015-03-20	3800	1.76
2015-03-21	4162	1.77
2015-03-22	4485	1.75
2015-03-23	4147	1.8
2015-03-24	3938	1.78
2015-03-25	4203	1.65
2015-03-26	3700	1.67
2015-03-27	3429	1.69
2015-03-28	3699	1.68
2015-03-29	3848	1.7
2015-03-30	3565	1.66
2015-03-31	3855	1.67
2015-04-01	3714	1.65
2015-04-02	3523	1.67
2015-04-03	3422	1.68
2015-04-04	3456	1.7
2015-04-05	3391	1.68
2015-04-06	3721	1.7
2015-04-07	3627	1.69
2015-04-08	5383	1.67
2015-04-09	3968	1.62
2015-04-10	4963	1.59
2015-04-11	4894	1.52
2015-04-12	3949	1.46
2015-04-13	3584	1.47
2015-04-14	4751	1.38
2015-04-15	4462	1.38
2015-04-16	3957	1.38
2015-04-17	3885	1.42
2015-04-18	4247	1.41
2015-04-19	5386	1.41
2015-04-20	4031	1.38
2015-04-21	4144	1.41
2015-04-22	3752	1.43
2015-04-23	3878	1.46
2015-04-24	3821	1.46
2015-04-25	3392	1.42
2015-04-26	3422	1.4
2015-04-27	3410	1.32
2015-04-28	3428	1.38
2015-04-29	3114	1.36
2015-04-30	3061	1.36
2015-05-01	2835	1.44
2015-05-02	2949	1.41
2015-05-03	3410	1.42
2015-05-04	3438	1.43
2015-05-05	3197	1.41
2015-05-06	2998	1.41
2015-05-07	3400	1.39
2015-05-08	3385	1.45
2015-05-09	3681	1.48
2015-05-10	3167	1.45
2015-05-11	3592	1.44
2015-05-12	3590	1.44
2015-05-13	3435	1.44
2015-05-14	2860	1.45
2015-05-15	2966	1.45
2015-05-16	3153	1.45
2015-05-17	2978	1.45
2015-05-18	3616	1.45
2015-05-19	3172	1.45
2015-05-20	3062	1.45
2015-05-21	2846	1.46
2015-05-22	4498	1.48
2015-05-23	3628	1.83
2015-05-24	3731	1.79
2015-05-25	3424	1.83
2015-05-26	3153	1.8
2015-05-27	3369	1.82
2015-05-28	3255	1.85
2015-05-29	3065	1.84
2015-05-30	3180	1.83
2015-05-31	3597	1.81
2015-06-01	3986	1.64
2015-06-02	3612	1.62
2015-06-03	3879	1.67
2015-06-04	3064	1.69
2015-06-05	3319	1.67
2015-06-06	3387	1.76
2015-06-07	3045	1.76
2015-06-08	3738	1.73
2015-06-09	3196	1.78
2015-06-10	3124	1.8
2015-06-11	3421	1.76
2015-06-12	3967	1.79
2015-06-13	3433	1.8
2015-06-14	4402	1.86
2015-06-15	4375	2
2015-06-16	6420	2.02
2015-06-17	6622	2.9
2015-06-18	5208	2.89
2015-06-19	4896	3.1
2015-06-20	9503	2.81
2015-06-21	16654	3.04
2015-06-22	4332	3.02
2015-06-23	3995	3.03
2015-06-24	4622	2.97
2015-06-25	5584	2.77
2015-06-26	5529	2.85
2015-06-27	8973	2.86
2015-06-28	9308	3.09
2015-06-29	10743	3.19
2015-06-30	7881	3.74
2015-07-01	5210	4.09
2015-07-02	5086	3.93
2015-07-03	4945	4.06
2015-07-04	4787	4.12
2015-07-05	6324	4.13
2015-07-06	7810	4.95
2015-07-07	6124	5.44
2015-07-08	6852	5.25
2015-07-09	9613	6.36
2015-07-10	11648	7.53
2015-07-11	7624	4.48
2015-07-12	7378	4.39
2015-07-13	5789	5.3
2015-07-14	4613	4.68
2015-07-15	5091	4.65
2015-07-16	6819	4.2
2015-07-17	4395	3.72
2015-07-18	3514	3.78
2015-07-19	3874	4
2015-07-20	3217	3.77
2015-07-21	3510	3.93
2015-07-22	3224	3.78
2015-07-23	2902	3.83
2015-07-24	4465	3.79
2015-07-25	4021	4.6
2015-07-26	4157	4.63
2015-07-27	3734	4.68
2015-07-28	4486	4.67
2015-07-29	4278	5.05
2015-07-30	3230	4.79
2015-07-31	3163	4.58
2015-08-01	3593	4.64
2015-08-02	3703	4.09
2015-08-03	3850	4.17
2015-08-04	3571	4.18
2015-08-05	3188	4.37
2015-08-06	3620	4.35
2015-08-07	3147	4.06
2015-08-08	3486	4.22
2015-08-09	3270	3.84
2015-08-10	3620	3.9
2015-08-11	3389	3.95
2015-08-12	3513	4.14
2015-08-13	3149	3.97
2015-08-14	3152	3.88
2015-08-15	2920	4.02
2015-08-16	3107	3.93
2015-08-17	3819	3.96
2015-08-18	3424	3.98
2015-08-19	3850	3.48
2015-08-20	2949	3.47
2015-08-21	2668	3.6
2015-08-22	3287	3.56
2015-08-23	3116	3.51
2015-08-24	4400	3.39
2015-08-25	5531	2.98
2015-08-26	4204	2.95
2015-08-27	2763	2.95
2015-08-28	3419	2.84
2015-08-29	2900	2.92
2015-08-30	2707	2.87
2015-08-31	2877	2.85
2015-09-01	3268	2.85
2015-09-02	2870	2.82
2015-09-03	3065	2.8
2015-09-04	2988	2.64
2015-09-05	3403	2.7
2015-09-06	5977	2.92
2015-09-07	2977	3.04
2015-09-08	3063	3.05
2015-09-09	2816	3.05
2015-09-10	2794	2.92
2015-09-11	2878	2.95
2015-09-12	2738	2.96
2015-09-13	3621	2.82
2015-09-14	2999	2.81
2015-09-15	2603	2.84
2015-09-16	2964	2.83
2015-09-17	2814	2.81
2015-09-18	3270	2.91
2015-09-19	2673	2.95
2015-09-20	3804	2.88
2015-09-21	3418	2.85
2015-09-22	3663	2.8
2015-09-23	2964	2.86
2015-09-24	2816	2.87
2015-09-25	3444	2.93
2015-09-26	2559	2.89
2015-09-27	3569	2.89
2015-09-28	3693	2.88
2015-09-29	3703	3.1
2015-09-30	3495	2.97
2015-10-01	3070	3.01
2015-10-02	3075	3
2015-10-03	2809	3
2015-10-04	3601	3.03
2015-10-05	3364	3.02
2015-10-06	3515	3.02
2015-10-07	3563	3.15
2015-10-08	3284	3.06
2015-10-09	3970	3.07
2015-10-10	4165	3.11
2015-10-11	3715	3.11
2015-10-12	4669	3.15
2015-10-13	4374	3.14
2015-10-14	5283	3.18
2015-10-15	4435	3.15
2015-10-16	4462	3.11
2015-10-17	5807	3.11
2015-10-18	4855	3.07
2015-10-19	4278	3.03
2015-10-20	4290	3.05
2015-10-21	7378	3.09
2015-10-22	4476	3.08
2015-10-23	5255	3.12
2015-10-24	5713	3.11
2015-10-25	6300	3.11
2015-10-26	6287	3.07
2015-10-27	6953	3.11
2015-10-28	5716	3.1
2015-10-29	7109	3.1
2015-10-30	7988	3.77
2015-10-31	11663	4.08
2015-11-01	3944	3.82
2015-11-02	5365	3.98
2015-11-03	6952	4.17
2015-11-04	8463	4.58
2015-11-05	6148	4.2
2015-11-06	7884	3.95
2015-11-07	5463	3.55
2015-11-08	6517	3.62
2015-11-09	7680	3.43
2015-11-10	5200	3.4
2015-11-11	6068	3.12
2015-11-12	5937	2.97
2015-11-13	5196	3.27
2015-11-14	5861	3.22
2015-11-15	6191	3.2
2015-11-16	5786	3.07
2015-11-17	5531	3.19
2015-11-18	6994	3.2
2015-11-19	5843	3.19
2015-11-20	5835	3.14
2015-11-21	5784	3.12
2015-11-22	5268	3.16
2015-11-23	4540	3.14
2015-11-24	5098	3.13
2015-11-25	6242	3.11
2015-11-26	8688	3.35
2015-11-27	5558	3.6
2015-11-28	7482	3.58
2015-11-29	6029	3.53
2015-11-30	6425	3.66
2015-12-01	6213	3.63
2015-12-02	5033	3.43
2015-12-03	4749	3.35
2015-12-04	4661	3.38
2015-12-05	6008	3.37
2015-12-06	6442	3.53
2015-12-07	9440	3.45
2015-12-08	6363	3.65
2015-12-09	7234	3.68
2015-12-10	5826	3.67
2015-12-11	7599	3.67
2015-12-12	7407	3.84
2015-12-13	5847	3.6
2015-12-14	8017	3.64
2015-12-15	8641	3.62
2015-12-16	8647	3.84
2015-12-17	5275	3.7
2015-12-18	3626	3.75
2015-12-19	4366	3.77
2015-12-20	4275	3.74
2015-12-21	6300	3.55
2015-12-22	4237	3.46
2015-12-23	5387	3.43
2015-12-24	4089	3.59
2015-12-25	3097	3.65
2015-12-26	3830	3.64
2015-12-27	4728	3.42
2015-12-28	4069	3.48
2015-12-29	3997	3.47
2015-12-30	4562	3.51
2015-12-31	2860	3.46
2016-01-01	3136	3.48
2016-01-02	4917	3.52
2016-01-03	3794	3.5
2016-01-04	4535	3.48
2016-01-05	3792	3.49
2016-01-06	3232	3.47
2016-01-07	4731	3.45
2016-01-08	6832	3.6
2016-01-09	7472	3.57
2016-01-10	5113	3.56
2016-01-11	6913	3.53
2016-01-12	3998	3.55
2016-01-13	4160	3.49
2016-01-14	3302	3.47
2016-01-15	4134	3.46
2016-01-16	5179	2.97
2016-01-17	6082	3.09
2016-01-18	4494	3.02
2016-01-19	3104	3.05
2016-01-20	5369	3.01
2016-01-21	3912	3.38
2016-01-22	4386	3.23
2016-01-23	5025	3.08
2016-01-24	4643	3.11
2016-01-25	5146	3.19
2016-01-26	5552	3.13
2016-01-27	7193	3.16
2016-01-28	6290	3.29
2016-01-29	5041	3.14
2016-01-30	5638	3.12
2016-01-31	5291	3.1
2016-02-01	5589	3.07
2016-02-02	3366	3.09
2016-02-03	3219	3.09
2016-02-04	3939	3.06
2016-02-05	3761	3.17
2016-02-06	3695	3.15
2016-02-07	3402	3.11
2016-02-08	3572	3.09
2016-02-09	4141	3.08
2016-02-10	3139	3.09
2016-02-11	3151	3.11
2016-02-12	3381	3.09
2016-02-13	3252	3.12
2016-02-14	3451	3.15
2016-02-15	3873	3.23
2016-02-16	3685	3.2
2016-02-17	5035	3.23
2016-02-18	3736	3.25
2016-02-19	4824	3.26
2016-02-20	5272	3.27
2016-02-21	4723	3.46
2016-02-22	5275	3.47
2016-02-23	4052	3.49
2016-02-24	4684	3.4
2016-02-25	3822	3.39
2016-02-26	3919	3.37
2016-02-27	3584	3.43
2016-02-28	3821	3.41
2016-02-29	4700	3.44
2016-03-01	4725	3.45
2016-03-02	6565	3.43
2016-03-03	4283	3.36
2016-03-04	3646	3.32
2016-03-05	4443	3.25
2016-03-06	3827	3.19
2016-03-07	3685	3.22
2016-03-08	3127	3.27
2016-03-09	2954	3.25
2016-03-10	3789	3.28
2016-03-11	4714	3.29
2016-03-12	3261	3.39
2016-03-13	4081	3.29
2016-03-14	4158	3.31
2016-03-15	3446	3.3
2016-03-16	3583	3.31
2016-03-17	4480	3.31
2016-03-18	4443	3.31
2016-03-19	4362	3.17
2016-03-20	4601	3.18
2016-03-21	4272	3.21
2016-03-22	4864	3.2
2016-03-23	4249	3.23
2016-03-24	7126	3.25
2016-03-25	4160	3.23
2016-03-26	5010	3.23
2016-03-27	4581	3.23
2016-03-28	5255	3.3
2016-03-29	5205	3.26
2016-03-30	4923	3.23
2016-03-31	4970	3.23
2016-04-01	5587	3.25
2016-04-02	5474	3.25
2016-04-03	3872	3.26
2016-04-04	4161	3.26
2016-04-05	5809	3.25
2016-04-06	4994	3.26
2016-04-07	5822	3.26
2016-04-08	5313	3.24
2016-04-09	6030	3.22
2016-04-10	4689	3.22
2016-04-11	5222	3.23
2016-04-12	4048	3.24
2016-04-13	3839	3.26
2016-04-14	3898	3.25
2016-04-15	4388	3.24
2016-04-16	3526	3.28
2016-04-17	4252	3.28
2016-04-18	4444	3.26
2016-04-19	4357	3.25
2016-04-20	4245	3.29
2016-04-21	4605	3.28
2016-04-22	3976	3.35
2016-04-23	4755	3.32
2016-04-24	6336	3.35
2016-04-25	6860	3.62
2016-04-26	6469	3.8
2016-04-27	6955	4.05
2016-04-28	5731	3.88
2016-04-29	5654	3.79
2016-04-30	5063	3.81
2016-05-01	5894	3.66
2016-05-02	5691	3.71
2016-05-03	5337	3.68
2016-05-04	5891	3.74
2016-05-05	6905	3.74
2016-05-06	6238	3.72
2016-05-07	5743	3.82
2016-05-08	5261	3.94
2016-05-09	6434	3.94
2016-05-10	6837	4.06
2016-05-11	6763	3.82
2016-05-12	7054	3.88
2016-05-13	7199	3.86
2016-05-14	6309	3.93
2016-05-15	6220	4.01
2016-05-16	7454	4.06
2016-05-17	6990	4
2016-05-18	6630	3.98
2016-05-19	6676	4
2016-05-20	5574	3.82
2016-05-21	5864	3.88
2016-05-22	5786	3.96
2016-05-23	6259	3.92
2016-05-24	5427	3.96
2016-05-25	6225	3.95
2016-05-26	5851	4.05
2016-05-27	8993	4.09
2016-05-28	8104	4.51
2016-05-29	6509	4.69
2016-05-30	6834	4.63
2016-05-31	8108	4.69
2016-06-01	7149	4.65
2016-06-02	7029	4.74
2016-06-03	9525	4.72
2016-06-04	4141	4.86
2016-06-05	3515	4.8
2016-06-06	4314	4.81
2016-06-07	4230	4.95
2016-06-08	3891	4.77
2016-06-09	3670	4.78
2016-06-10	3734	4.75
2016-06-11	3681	4.88
2016-06-12	5175	5.07
2016-06-13	5440	5.41
2016-06-14	5090	5.31
2016-06-15	5141	5.22
2016-06-16	6314	5.25
2016-06-17	6585	5.67
2016-06-18	4332	5.6
2016-06-19	3894	5.56
2016-06-20	4840	5.63
2016-06-21	5269	5.27
2016-06-22	5582	4.83
2016-06-23	6734	3.92
2016-06-24	5294	3.85
2016-06-25	4501	4.27
2016-06-26	4022	4.24
2016-06-27	4196	4.05
2016-06-28	4274	4.14
2016-06-29	4812	4.1
2016-06-30	4471	4.08
2016-07-01	4251	4.19
2016-07-02	3953	4.28
2016-07-03	3505	4.66
2016-07-04	3950	4.27
2016-07-05	3835	4.56
2016-07-06	3922	4.46
2016-07-07	4225	4.5
2016-07-08	3783	4.12
2016-07-09	3641	4.24
2016-07-10	3371	4.12
2016-07-11	3706	4.12
2016-07-12	3911	4.09
2016-07-13	3234	4.16
2016-07-14	3371	4.14
2016-07-15	4922	4.15
2016-07-16	4057	4.15
2016-07-17	3307	4.14
2016-07-18	3423	4.2
2016-07-19	3363	4.15
2016-07-20	3719	4.15
2016-07-21	3845	4.13
2016-07-22	3671	4.13
2016-07-23	2945	4.04
2016-07-24	3428	4.06
2016-07-25	3580	4.07
2016-07-26	4717	4.04
2016-07-27	3568	3.96
2016-07-28	3074	3.97
2016-07-29	3235	3.97
2016-07-30	3177	4.08
2016-07-31	3235	4.08
2016-08-01	4122	4.06
2016-08-02	5055	3.87
2016-08-03	4813	3.64
2016-08-04	3854	3.71
2016-08-05	3456	3.74
2016-08-06	3391	3.72
2016-08-07	3645	3.76
2016-08-08	3476	3.77
2016-08-09	2861	3.78
2016-08-10	2879	3.76
2016-08-11	3413	3.72
2016-08-12	3506	3.74
2016-08-13	3295	3.71
2016-08-14	2820	3.72
2016-08-15	3279	3.65
2016-08-16	3414	3.59
2016-08-17	3289	3.65
2016-08-18	3214	3.6
2016-08-19	3186	3.61
2016-08-20	2725	3.61
2016-08-21	2764	3.62
2016-08-22	3642	3.62
2016-08-23	5717	3.66
2016-08-24	4376	3.93
2016-08-25	3721	3.86
2016-08-26	3325	3.8
2016-08-27	3294	3.82
2016-08-28	3104	3.74
2016-08-29	3451	3.74
2016-08-30	3559	3.77
2016-08-31	3581	3.81
2016-09-01	3356	3.8
2016-09-02	3594	3.84
2016-09-03	3229	3.83
2016-09-04	3365	3.89
2016-09-05	3441	4.02
2016-09-06	3559	3.98
2016-09-07	3248	3.99
2016-09-08	3421	3.97
2016-09-09	3001	3.98
2016-09-10	2538	3.97
2016-09-11	2809	3.97
2016-09-12	3433	3.87
2016-09-13	2973	3.83
2016-09-14	2922	3.82
2016-09-15	2561	3.83
2016-09-16	3295	3.82
2016-09-17	2439	3.8
2016-09-18	2432	3.81
2016-09-19	3229	4.04
2016-09-20	2919	3.83
2016-09-21	4015	3.87
2016-09-22	3033	3.86
2016-09-23	2511	3.77
2016-09-24	2363	3.81
2016-09-25	2983	3.8
2016-09-26	3002	3.8
2016-09-27	2934	3.86
2016-09-28	2775	3.85
2016-09-29	3128	3.84
2016-09-30	3068	3.84
2016-10-01	2923	3.85
2016-10-02	2457	3.85
2016-10-03	2463	3.85
2016-10-04	3028	3.84
2016-10-05	3075	3.83
2016-10-06	4228	3.85
2016-10-07	3804	3.84
2016-10-08	2875	3.86
2016-10-09	2974	3.84
2016-10-10	3447	3.82
2016-10-11	3397	3.8
2016-10-12	3385	3.82
2016-10-13	3463	3.75
2016-10-14	3382	3.91
2016-10-15	3049	3.9
2016-10-16	3052	3.88
2016-10-17	4214	3.89
2016-10-18	3639	3.95
2016-10-19	5045	3.85
2016-10-20	4004	3.81
2016-10-21	3527	3.79
2016-10-22	3127	3.81
2016-10-23	3086	3.89
2016-10-24	4026	3.92
2016-10-25	4866	3.87
2016-10-26	4582	3.91
2016-10-27	4864	3.96
2016-10-28	4324	4.04
2016-10-29	4212	3.98
2016-10-30	3670	4.1
2016-10-31	4280	4.04
2016-11-01	4427	4
2016-11-02	3682	4.09
2016-11-03	4396	4.11
2016-11-04	3739	3.86
2016-11-05	3405	3.88
2016-11-06	3463	3.86
2016-11-07	3703	3.89
2016-11-08	3644	3.84
2016-11-09	3654	3.85
2016-11-10	2975	3.86
2016-11-11	3174	3.84
2016-11-12	3181	3.81
2016-11-13	3815	3.77
2016-11-14	3395	3.88
2016-11-15	3823	3.89
2016-11-16	3801	3.9
2016-11-17	3520	4.06
2016-11-18	3209	3.96
2016-11-19	2893	3.98
2016-11-20	3417	3.97
2016-11-21	3465	3.93
2016-11-22	3592	3.95
2016-11-23	3009	3.97
2016-11-24	3161	3.93
2016-11-25	2686	3.91
2016-11-26	2797	3.92
2016-11-27	3057	3.91
2016-11-28	2998	3.9
2016-11-29	3296	3.89
2016-11-30	3402	3.89
2016-12-01	3334	3.91
2016-12-02	3334	3.92
2016-12-03	3069	3.95
2016-12-04	3029	3.93
2016-12-05	5061	3.88
2016-12-06	3980	3.49
2016-12-07	3530	3.54
2016-12-08	3921	3.6
2016-12-09	3012	3.69
2016-12-10	2667	3.69
2016-12-11	2687	3.69
2016-12-12	2757	3.64
2016-12-13	2304	3.67
2016-12-14	2530	3.66
2016-12-15	2778	3.61
2016-12-16	2853	3.63
2016-12-17	2756	3.63
2016-12-18	2779	3.7
2016-12-19	2974	3.68
2016-12-20	3723	3.66
2016-12-21	3408	3.66
2016-12-22	3437	3.67
2016-12-23	4679	3.72
2016-12-24	4730	4.65
2016-12-25	3578	4.56
2016-12-26	3248	4.35
2016-12-27	3258	4.37
2016-12-28	3804	4.49
2016-12-29	3316	4.58
2016-12-30	3415	4.56
2016-12-31	2646	4.39
2017-01-01	2747	4.33
2017-01-02	4112	4.52
2017-01-03	3604	4.66
2017-01-04	5059	4.63
2017-01-05	4727	4.91
2017-01-06	4169	4.3
2017-01-07	4112	3.86
2017-01-08	3274	3.96
